X,Y,OBJECTID,TREEID,SITE_NAME,SPECIES,BOTANICAL,OWNER,TYPE,AGE,SPREAD,HEIGHT,TRUNK,LOCATION
-1.133477292723186,53.991198331636561,26462,158/90-T1,"By River Ouse Skelton, York,", , ,Private,Single tree,0,.00,.00,0, 
-1.0878364789101,53.919253224006226,26463,29/1986-T2,"Coda Avenue, Bishopthorpe",Oak,Quercus robur,Private,Single tree,0,.00,.00,0,Oak
-1.103402442136682,53.900645986104934,26464,4/1991-T2,"Hall Garth, Mill Lane, Acaster Malbis,",Yew,Taxus Baccata,Private,Single tree,0,.00,.00,0,Yew
-1.063974484397929,53.991351318403346,26465,180/1992-T4,"Mill Lodge, Huntington",Beech,Fagus Sylvatica,Private,Single tree,0,.00,.00,0,Beech
-1.019112531236581,54.045773064860342,26466,CYC285-T35,"Fields West of Cow Slip Hill, Strenshall, York",Oak,Quercus robur,Private,Single tree,0,.00,.00,0,Oak
-1.072720137950174,54.006925264369038,26467,60/1983-T5,"Melander Gardens, Haxby",Beech,Fagus Sylvatica,Private,Single tree,0,.00,.00,0,Beech
-1.081175830932451,53.952803925623996,26468,CYC271-T10,"1-5 Cherry Hill House, Cherry Hill Lane",Cherry,Cherry,Private,Single tree,0,.00,.00,0,Cherry
-1.144816795969116,53.987953608509478,26469,14/1996-T9,"Crosby Homes (Yorkshire) Ltd, Harewood Y, Harewood",Prunus (purple),Prunus,Private,Single tree,0,.00,.00,0,Prunus (purple)
-1.09153866192971,53.917771105910546,26470,2/1989-T2,"Garbett Way, Bishopthorpe",Silver Birch,Betula Pendula,Private,Single tree,0,.00,.00,0,Silver Birch
-1.102992003087603,53.939691858549828,26471,TPO22-T4,"Cherry Lane, Tadcaster Road",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.135849586879179,53.94660265460039,26472,cyc14-T5,"137, 145, 149 Askam Lane",Fir,Abies,Private,Single tree,0,.00,.00,0,Fir
-0.978876090520247,53.966738220823807,26473,4/1982-T1,"Garden Flats Lane / Eastfield Lane, Dunnington",Ash,Fraxinus Excelsior,Private,Single tree,0,.00,.00,0,Ash
-1.07546557822869,53.942825131366902,26474,U08445,Fulford Cross School,Beech,Fagus Sylvatica,Education,Single tree,0,9.00,23.00,0,School
-1.041724931889023,53.957826288174211,26475,96/1987-T7,"59-65 Osbaldwick Lane, Osbaldwick",Silver Birch,Betula Pendula,Private,Single tree,0,.00,.00,0,Birch
-1.088265022012725,53.964570761223882,26476,CYC156-T4,"82 Bootham, York",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.098614793797499,53.9674624410032,26477,TPO47-T48,"St Hilda's Garth, Ousecliffe Gardens, Clifton,",Bay Tree,Laurus Nobilis,Private,Single tree,0,.00,.00,0,Bay
-1.10930384590847,53.930192361546496,26478,cyc8-T10,"Various, Chessingham Grove, Tadcaster Road., Chess",Beech,Fagus Sylvatica,Private,Single tree,0,.00,.00,0,Beech
-1.073174125902753,53.937703607825561,26479,3/1977-T14,"2 Fulford Park, Fulford",Beech,Fagus Sylvatica,Private,Single tree,0,.00,.00,0,Beech
-0.931378225258923,53.91933822342196,26480,CYC110-T14,"Brook House, Main Street, Elvington, York",Hankerchief Tree,Davidia involucrata,Private,Single tree,0,.00,.00,0,Hankerchief Tree
-1.076362732230845,53.965167791505792,26481,U04532,"Penleys Grove Street, York",Lime,Tilia X Europaea,Private,Single tree,0,12.00,17.00,0,Grove House 40-48
-1.107130455049124,53.939956409740617,26482,CYC225-T1,"24, 25 & 26 St Helen’s Road",Willow,Salix,Private,Single tree,0,.00,.00,0,Willow
-1.122495236424113,53.988242156514886,26483,1981/25-T9,"Ings Lane Farm, Rawcliffe",Horse Chestnut,Aesculus Hippocastanum,Private,Single tree,0,.00,.00,0,Horse Chestnut
-1.093123948840828,53.952822800904151,26484,TPO37-T1,89 The Mount,Beech,Fagus Sylvatica,Private,Single tree,0,.00,.00,0,Beech
-1.136615814218487,53.943789001067287,26485,U01556,"Otterwood Lane, York",Silver Birch,Betula Pendula,Highways,Single tree,0,6.00,12.00,0,27
-1.126901254980196,53.943605522255353,26486,U01524,"Thornwood Covert, York",Silver Birch,Betula Pendula,Highways,Single tree,0,2.50,7.00,0,5
-1.042495640279663,53.951896978920949,26487,U03140,"Beaufort Close, York",Larch,Larix Decidua,Highways,Single tree,0,8.00,12.00,0,2
-1.137095743144064,53.943008419664864,26488,U01591,"Foresters Walk, York",Thorn,Crateagus Monogyna,Highways,Single tree,0,4.00,5.00,0,17
-1.070886588984275,53.953801868894871,26489,U02046,"Paragon Street, York",London Plane,Platanus X Hispanica,Private,Single tree,0,7.00,12.00,0, 
-1.138535244638702,53.943256064155285,26490,U01614,"Foxwood Lane, York",Ash,Fraxinus Excelsior,Highways,Single tree,0,15.00,18.00,0, 
-1.136265176071765,53.942964516348646,26491,U01570,"Foxwood Lane, York",Ash,Fraxinus Excelsior,Highways,Single tree,0,4.00,3.00,0,27
-1.07907813501561,53.920732518330965,26492,7/1987-T16,"Fulford/Naburn Hospitals, Naburn Lane, Fulford,",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.13836055578731,53.943207888106762,26493,U01611,"Foxwood Lane, York",Ash,Fraxinus Excelsior,Highways,Single tree,0,6.00,10.00,0,Otterwood
-1.131515331961916,53.969655379346399,26494,CYC283-T20,"Manor School (old site) Low Poppleton Lane, York",Horse Chestnut,Aesculus Hippocastanum,Private,Single tree,0,.00,.00,0,Horse Chestnut
-1.091819801699246,53.921656556159157,26495,8/1983-T12,"The White House, Bishopthorpe",Yew,Taxus Baccata,Private,Single tree,0,.00,.00,0,Taxus
-1.072497337485427,53.953557225974272,26496,U02057,"Paragon Street, York",London Plane,Platanus X Hispanica,Leisure,Single tree,0,7.00,12.00,30,Leased land now
-1.066745419138453,53.99432128748888,26497,186A/1994-T172,"Playing Field, New Earswick",Buckeye,Aesculus Glabra,Private,Single tree,0,.00,.00,0,Buckeye
-1.151450712687412,53.988764697288616,26498,1/1970-T2,Nether & Upper Poppleton,Ash,Fraxinus Excelsior,Private,Single tree,0,.00,.00,0,Ash
-1.098655218688442,53.930924909309446,26499,U10673,"Dringthorpe Road, York",Hazel,Corylus Avellana,Highways,Single tree,0,.00,.00,0,129
-1.13809585231038,53.944820971780878,26500,TPO60-T5,"Various, Askham Lane/Tedder Road",Horse Chestnut,Aesculus Hippocastanum,Private,Single tree,0,.00,.00,0,Chestnut
-1.072814766380556,53.945665228233473,26501,TPO33-T5,Hospital Fields Road,Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.091775487487932,53.921593296823509,26502,8/1983-T11,"The White House, Bishopthorpe",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.071519183025522,53.974896057602272,26503,U07139,Huntington Road,Lime,Tilia X Europaea,Housing,Single tree,0,9.00,16.00,0,190
-1.066930767965831,53.983302097775876,26504,1970/64A-T26,362 - 374 Huntington Road,Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.09695108053856,53.920994095823829,26505,2/1971-T1,"Social Club, Bishopthorpe",Horse Chestnut,Aesculus Hippocastanum,Private,Single tree,0,.00,.00,0,Horse Chestnut
-1.122622563352228,53.965491753519814,26506,CYC106-T44,"Boroughbridge Road,, York",Norway Maple,Acer Platanoides,Private,Single tree,0,.00,.00,0,Norway Maple
-1.075011861766417,53.943470835092675,26507,CYC118-T9,"Fulford Cross School,, Fulford Cross, York,",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.113354356974583,53.988435750926051,26508,1982/45-T3,"Manor Lane, Rawcliffe",Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.144981302924306,53.986624401488335,26509,1/1970-T35,Nether & Upper Poppleton,Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.129642648036875,53.9687968563453,26510,CYC283-T2,"Manor School (old site) Low Poppleton Lane, York",Sweet Chestnut,Castanea Sativa,Private,Single tree,0,.00,.00,0,Sweet Chestnut
-1.11739389532367,53.987117125783854,26511,1982/45-T15,"Manor Lane, Rawcliffe",Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.135413113138906,53.914652156619773,26512,2/1972-T22,"9 Station Road/25 Main Street, Copmanthorpe",Ash,Fraxinus Excelsior,Private,Single tree,0,.00,.00,0,Ash
-1.071114417758658,53.953768573022387,26513,CYC339-T6,"Paragon Street, York Staycity Hotels",London Plane,Platanus X Hispanica,Private,Single tree,0,.00,.00,0,Plane
-1.071433298204834,53.986582035398179,26514,1982/39-T13,"Haxby Road/Juniper Close, New Earswick",Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.049814098469952,53.953333035295884,26515,CYC127-T1,"155-169 Thief Laneand160 Hull Road, York",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.041621965312399,53.95766366197666,26516,96/1987-T5,"59-65 Osbaldwick Lane, Osbaldwick",Silver Birch,Betula Pendula,Private,Single tree,0,.00,.00,0,Birch
-1.070997878953444,53.953786728872139,26517,CYC339-T5,"Paragon Street, York Staycity Hotels",London Plane,Platanus X Hispanica,Private,Single tree,0,.00,.00,0,Plane
-1.126459860282581,53.968620945461041,26518,TPO23-T11,"33 Millgates, Acomb YO2  6AT",Hawthorn,Crataegus Monogyna,Private,Single tree,0,.00,.00,0,Hawthorn
-1.06742093390379,53.996178282053208,26519,186A/1994-T21,"Playing Field, New Earswick",Beech,Fagus Sylvatica,Private,Single tree,0,.00,.00,0,Beech
-1.072615644569367,53.953548610813129,26520,U02058,"Paragon Street, York",London Plane,Platanus X Hispanica,Leisure,Single tree,0,7.00,12.00,30,Leased land now
-1.072656947548051,53.945223541531099,26521,TPO33-T18,Hospital Fields Road,Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.137232443400366,53.942999783233027,26522,U01592,"Foresters Walk, York",Thorn,Crateagus Monogyna,Highways,Single tree,0,4.00,5.00,0,15
-1.075599444281314,53.939127393308254,26523,21/1985-T3,"St Oswad's Road, Fulford",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.088866292475271,53.885938067590416,26524,cyc46-T38,"Bell Hall, Naburn",Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.033445272771339,54.033699966179043,26525,CYC101-T8,"26 Moor Lane, Strensal. 1- 4 The Birches Now.", , ,Private,Single tree,0,.00,.00,0, 
-1.100264984419302,53.92198081034217,26526,cyc16-T12,"12 Copmanthorpe Lane, Bishopthorpe",Ash,Fraxinus Excelsior,Private,Single tree,0,.00,.00,0,Ash
-1.102830779993743,53.972761603325331,26527,46/67-T3,"Shipton Road, Clifton",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.15629967700951,53.977526584917591,26528,cyc31-T10,"The Croft, Hodgson Lane, Upper Poppleton, York Hou",Holly,Ilex Aquifolium,Private,Single tree,0,.00,.00,0,Holly
-1.0976789263855,53.966322789790524,26529,TPO47-T12,"St Hilda's Garth, Ousecliffe Gardens, Clifton,",Horse Chestnut,Aesculus Hippocastanum,Private,Single tree,0,.00,.00,0,Horse Chestnut
-1.076320321015504,53.965762095783724,26530,CYC353-T1,Penleys Grove Street,Lime,Tilia X Europaea,Social Services,Single tree,0,.00,.00,0,Lime
-1.074182626345596,53.963024815148927,26531,cyc39-T5,"County House, Monkgate",Horse Chestnut,Aesculus Hippocastanum,Private,Single tree,0,.00,.00,0,Horse Chestnut
-1.074016363067601,53.962960609993978,26532,cyc39-T6,"County House, Monkgate",Horse Chestnut,Aesculus Hippocastanum,Private,Single tree,0,.00,.00,0,Horse Chestnut
-1.107654718382811,53.939663664175384,26533,TPO50-T39,Tadcaster Road/St Helen's Road,Acer,Acer,Private,Single tree,0,.00,.00,0,Acer
-1.152741823846682,53.986778241204092,26534,1/1970-T30,Nether & Upper Poppleton,Ash,Fraxinus Excelsior,Private,Single tree,0,.00,.00,0,Ash
-1.153918046831887,53.985186479734715,26535,1/1970-T21,Nether & Upper Poppleton,Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.073382641855681,54.016944180052604,26536,127/1989-T1,"44 The Village, (Birch Tree Court), Haxby,",Silver Birch,Betula Pendula,Private,Single tree,0,.00,.00,0,Birch
-1.071327322532134,53.989199469219656,26537,U09666,"Haxby Road, York",Oak,Quercus robur,Private,Single tree,0,17.00,16.00,0, 
-1.09609410186852,53.970517776926016,26538,CYC103-T4,"CHURCH, 103 Clifton Vicarage, Clifton, York,",Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.077825695269137,53.938863055159608,26539,15/1985-T1,"St Oswald's Road, Fulford",Oak,Quercus robur,Private,Single tree,0,.00,.00,0,Oak
-1.070643621538918,53.953830552655546,26540,CYC339-T2,"Paragon Street, York Staycity Hotels",London Plane,Platanus X Hispanica,Private,Single tree,0,.00,.00,0,Plane
